Week,Day,Morning (20m) - Input,Lunch (15m) - Vocab,Evening (45m) - Output/Task,Daily Goal
Week 1,Day 1,iOS Interview YouTube (Intro),Greetings,Practice Self-introduction (v1),Perfect Small Talk
Week 1,Day 2,Swift Podcast (Basics),Background,Self-intro: Education & Early career,Fluency in Background
Week 1,Day 3,YouTube: Tech Interview Tips,Experience,Self-intro: Recent roles (Changan/Byte),Focus on Key Achievements
Week 1,Day 4,iOS Academy: Soft Skills,Responsibilities,Full Self-introduction recording,No looking at notes
Week 1,Day 5,Tech Talk: Personal Branding,Strengths,Answer: "What are your strengths?",3 key traits with examples
Week 1,Day 6,YouTube: Why this company?,Weaknesses,Answer: "What is your weakness?",Focus on Learning (Flutter)
Week 1,Day 7,Review Week 1 videos,Aspirations,Mock Interview: Introduction phase,Natural flow
Week 2,Day 8,Project Case Study: Stock App,Refactor,Describe Tonghuashun project,STAR: Situation/Task
Week 2,Day 9,YouTube: Crash Reporting,Optimize,Describe Tonghuashun: Crash system,STAR: Action/Result
Week 2,Day 10,Project: Video Editing App,Efficiency,Describe Quwei: Video editing features,STAR: Action
Week 2,Day 11,YouTube: App Store IAP,Integration,Describe Quwei: IAP & Crash reduction,STAR: Result (3% to 0.5%)
Week 2,Day 12,Tech Blog: Performance,Latency,Shadowing: Describing performance fixes,Mimic intonation
Week 2,Day 13,YouTube: UI Optimization,Bottleneck,Describe Kugou: Friend rec system,STAR: Action (Instruments)
Week 2,Day 14,Review Week 2 Projects,Achievements,Full Project Story: Tonghuashun/Quwei,Confidence in past roles
Week 3,Day 15,Componentization Overview,Decouple,Describe Dongchedi: Componentization,Explain "Why" decouple
Week 3,Day 16,YouTube: Routing in iOS,Architecture,Describe Router implementation,Explain Runtime/Forwarding
Week 3,Day 17,Project: Vehicle Control,Foundation,Describe Changan: 3-layer architecture,Explain Foundation/Business
Week 3,Day 18,YouTube: SDK Development,Scalability,Describe Changan: SDK Integration cost,STAR: Result (60% saved)
Week 3,Day 19,App Size Optimization blog,Redundant,Describe App size reduction (800MB to 400MB),Explain techniques used
Week 3,Day 20,YouTube: Crash Governance,Contention,Describe Multi-thread race fix,Explain Thread-safety
Week 3,Day 21,Review Changan/Byte Projects,Robust,Full Project Story: Changan/Byte,Expert level detail
Week 4,Day 22,Memory Management (ARC),Retain Cycle,Explain ARC & Strong/Weak/Unowned,Clear conceptual explanation
Week 4,Day 23,YouTube: Side Tables in OC,Reference,Explain Object Structure (isa/rc),Deep dive detail
Week 4,Day 24,Concurrency: GCD basics,Deadlock,Explain Deadlock scenarios,Sync vs Async explanation
Week 4,Day 25,YouTube: Swift Concurrency,Asynchronous,Explain Async/Await vs GCD,Future-proof tech talk
Week 4,Day 26,Network: TCP/TLS Handshake,Encryption,Explain MQTT/TLS Connection flow,Explain Wireshark/Console.app
